,0,1,year,2,3,4,5
0,,Total,2014,,,,
1,,Number,2014,,,,
2,United States,867996,2014,,,,
3,Alabama,6162,2014,,,,
4,Alaska,292,2014,,,,
5,Arizona,40364,2014,,,,
6,Arkansas,6038,2014,,,,
7,California,65785,2014,,,,
8,Colorado,15845,2014,,,,
9,Connecticut,33630,2014,,,,
10,Delaware,NR,2014,,,,
11,District of Columbia,12117,2014,,,,
12,Florida,11676,2014,,,,
13,Georgia,4631,2014,,,,
14,Hawaii,1829,2014,,,,
15,Idaho,1858,2014,,,,
16,Illinois,13501,2014,,,,
17,Indiana,15676,2014,,,,
18,Iowa,38172,2014,,,,
19,Kansas,5329,2014,,,,
20,Kentucky,14678,2014,,,,
21,Louisiana,6570,2014,,,,
22,Maine,2696,2014,,,,
23,Maryland,4323,2014,,,,
24,Massachusetts,27816,2014,,,,
25,Michigan,4299,2014,,,,
26,Minnesota,34448,2014,,,,
27,Mississippi,3845,2014,,,,
28,Missouri,6229,2014,,,,
29,Montana,343,2014,,,,
30,Nebraska,2494,2014,,,,
31,Nevada,1520,2014,,,,
32,New Hampshire,411,2014,,,,
33,New Jersey,47613,2014,,,,
34,New Mexico,NR,2014,,,,
35,New York,104325,2014,,,,
36,North Carolina,28700,2014,,,,
37,North Dakota,952,2014,,,,
38,Ohio,44130,2014,,,,
39,Oklahoma,4726,2014,,,,
40,Oregon,381,2014,,,,
41,Pennsylvania,22541,2014,,,,
42,Rhode Island,1799,2014,,,,
43,South Carolina,808,2014,,,,
44,South Dakota,11795,2014,,,,
45,Tennessee,11127,2014,,,,
46,Texas,176666,2014,,,,
47,Utah,3522,2014,,,,
48,Vermont,3870,2014,,,,
49,Virginia,3552,2014,,,,
50,Washington,3971,2014,,,,
51,West Virginia,3488,2014,,,,
52,Wisconsin,10864,2014,,,,
53,Wyoming,589,2014,,,,
54,Timeframe,Distribution,,Data Format,Geography,Type,Note
55,"Notes, Sources, and Definitions",,,,,,
56,any,,,,,Notes,"The three main Medicaid Home and Community-Based Services (HCBS) programs are as follows: (1) the mandatory home health services state plan benefit, (2) the optional personal care services state plan benefit, and (3) optional Section 1915(c) HCBS waivers.

For more information about Medicaid HCBS, please see [Medicaid Home and Community-Based Services: Results from a 50-State Survey of Enrollment, Spending, and Program Policies](https://www.kff.org/report-section/medicaid-home-and-community-based-services-results-from-a-50-state-survey-of-enrollment-spending-and-program-policies-report/). Data may not sum to total due to rounding."
57,any,,,,,Sources,Kaiser Family Foundation analysis of Medicaid HCBS Program survey.
58,any,,,,,Definitions,*NR:* Not reported.
59,Footnotes,,,,,,
60,Formatting Specifications,,,,,,
61,any,,,,,Locked,no
