,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total,755397,912229,814192,813481,894154,911239,949822,960601,944507,774243,724788
AK,4679,4960,3904,3705,3520,3538,3556,3574,3598,3657,4982
AL,-,-,-,-,-,-,-,-,-,-,-
AR,15503,15452,15160,14223,13923,14377,13904,14559,15206,15356,19222
AZ,-,-,-,-,-,-,-,-,-,-,-
CA,295049,313893,329893,345507,422823,425321,455243,456512,419385,305132,245429
CO,-,-,-,-,-,-,-,-,-,-,-
CT,-,-,-,-,-,-,-,-,-,-,-
DC,2432,2522,2498,2365,2298,2231,2164,2097,2112,2098,9461
DE,0,0,0,0,0,0,0,0,0,0,0
FL,14718,13980,12253,357,403,944,1235,1744,11115,12364,1991
GA,-,-,-,-,-,-,-,-,-,-,-
HI,-,-,-,-,-,-,-,-,-,-,-
IA,-,-,-,-,-,-,-,-,-,-,-
ID,3614,3601,3777,3773,3799,4266,3331,2163,5918,2070,2169
IL,-,-,-,-,-,-,-,-,-,-,-
IN,-,-,-,-,-,-,-,-,-,-,-
KS,-,-,-,18,89,147,210,273,336,365,365
KY,-,-,-,-,-,-,-,-,-,-,-
LA,2,4400,6568,8625,11532,14166,17533,18535,18393,19431,20025
MA,11716,13767,14200,15109,16900,18200,19828,21566,22853,24292,29139
MD,4603,4643,4474,4385,4416,4608,4894,5221,5323,5593,5143
ME,1950,1901,1632,1716,1704,2128,2245,4474,3016,3088,3247
MI,54986,55158,56210,57980,59124,61324,64956,66930,69090,68133,69074
MN,8329,9940,16569,18862,20759,22750,24352,22664,23589,24297,36239
MO,49295,49481,47435,46969,49333,52732,51115,55473,55665,58960,59526
MS,-,-,-,-,-,-,-,-,-,-,-
MT,2990,3127,3117,3095,3093,3144,3323,3323,3592,3558,2914
NC,41911,50818,53141,49877,50017,53162,50830,38713,57098,47905,50998
ND,777,1362,1896,1872,1754,1509,1089,1145,1165,1200,1206
NE,1356,1549,1680,1723,1832,2412,2349,2266,1991,2325,2526
NH,25,25,21,16,21,25,29,28,28,32,130
NJ,18987,20884,21198,21582,20623,20553,20483,20413,20543,20748,25202
NM,9525,9614,10477,11769,12365,13443,14520,15598,15872,16013,0
NV,4408,4991,5383,5663,6205,6507,5133,5377,6470,6494,6920
NY,85613,84270,82801,80099,78494,75158,71693,68228,66198,64032,62291
OH,-,-,-,-,-,-,-,-,-,-,-
OK,4342,5505,4077,3700,3327,3475,3885,3836,3998,3858,3048
OR,4495,5086,3746,3609,3389,3077,3228,3130,3226,700,4271
PA,-,-,-,-,-,-,-,-,-,-,-
RI,0,0,0,0,0,0,0,0,0,0,0
SC,-,-,-,-,-,-,-,-,-,-,-
SD,923,901,936,986,996,861,791,763,572,427,448
TN,-,-,-,-,-,-,-,-,-,-,-
TX,71381,187099,64425,59025,51567,52628,56510,69409,56161,11125,10987
UT,1787,1755,1674,72,62,131,168,241,393,400,283
VA,-,-,-,-,-,-,-,-,-,-,-
VT,1543,1896,2116,1968,2653,2414,2622,2503,2410,2354,2024
WA,22390,22738,23988,25152,27075,25689,27303,27989,26979,25684,19021
WI,11123,12540,13255,13653,14032,14411,14790,15169,15548,15654,19158
WV,4945,4945,5688,6026,6026,5908,6510,6685,6664,6898,7349
WY,-,,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
Source: https://files.kff.org/attachment/Report-Medicaid-Home-and-Community-Based-Services,,,,,,,,,,,
