,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total,2605870,2782984,2760641,2831517,2961608,3114796,3159688,3204638,3202732,3004685,3168011
AK,8243,8915,8032,7912,7859,8136,8437,8862,8983,9291,10577
AL,19723,20330,20823,21327,21888,24552,22078,21320,20305,20019,20602
AR,33970,34174,34559,33174,33145,34891,34726,35763,36519,36564,39526
AZ,29934,31197,32358,33891,34968,36045,37122,38199,39275,40364,40364
CA,454476,482776,493315,516338,599526,605489,586696,594425,554567,440841,500654
CO,34270,31264,36721,38637,40455,42927,44185,46078,47763,49755,55246
CT,39467,40027,38242,29917,31145,47566,49311,52879,55061,55932,59170
DC,5574,6818,7579,9027,9541,9952,10678,11404,12268,12432,26187
DE,4162,4070,4224,4171,4078,4123,4104,4262,4327,2077,984
FL,87836,94323,99857,89176,82578,104833,93073,96126,107410,105041,106121
GA,40871,43425,41585,41812,46614,50538,52443,51890,55419,56694,46527
HI,4643,5663,6060,6502,7088,4197,4305,4454,4583,4691,4452
IA,42110,42618,36259,38517,40185,40670,42010,42564,42046,42089,66834
ID,15827,16552,17004,17976,18784,17528,17244,16828,21364,18435,20933
IL,77419,81714,85935,85354,93287,100021,104701,111852,117982,125386,131114
IN,22413,21318,22271,24476,26323,29952,33504,35265,38144,44313,47656
KS,27767,29213,30211,30752,33423,33916,33631,33591,32251,32349,33629
KY,39063,37337,34100,33266,33228,32806,34384,35832,36686,39289,39934
LA,24126,26001,27758,30970,36172,40520,44231,46015,41877,47772,44312
MA,46212,50668,52093,52639,55075,59487,63733,65991,70891,76751,84555
MD,19478,23662,23705,23360,24505,29434,30346,31156,32332,33554,35872
ME,9009,8948,9361,8971,9914,10548,10559,18010,20458,11547,12096
MI,79901,79275,80200,81426,83051,86146,90738,92456,94086,102810,95578
MN,56005,59325,78449,84517,90225,94841,99009,89920,103125,103268,138503
MO,88565,89271,84810,83068,84091,87404,86304,91254,91646,96714,96815
MS,23885,23584,22166,22524,22924,24482,25714,27045,30553,35240,28973
MT,7303,7566,7650,7890,8105,8327,8616,8820,9505,9285,8586
NC,95880,110891,117467,115123,115793,120312,116892,104570,116075,107911,102744
ND,5159,5511,6401,6487,6515,6473,5824,6087,6286,6925,7277
NE,15065,17271,17942,19031,19081,18186,18828,17196,15807,15702,15760
NH,8152,7769,8378,9298,9740,10449,10965,11236,11638,11692,9105
NJ,48140,52699,55690,57279,57894,66236,61154,61997,63995,65022,83531
NM,15934,16274,17508,19812,21083,21304,22011,23246,23388,26642,4936
NV,8993,9741,10344,10679,11250,11327,10091,10575,11758,11792,13319
NY,271682,271886,281821,277626,277555,280552,281990,280418,281006,281283,271925
OH,143989,83281,88866,103114,96932,105654,110506,123348,132770,139520,137699
OK,27556,31255,33538,36434,39720,39047,37891,36957,36960,35306,34091
OR,42487,43196,43607,44437,44688,47284,49270,51109,52071,46196,52921
PA,53897,59938,76891,78202,84782,90912,98588,86152,91778,92225,109735
RI,6919,7226,7697,8516,9119,7697,1376,1413,1310,1350,1799
SC,24793,24249,22638,24492,25173,25141,23876,23345,23718,25360,29220
SD,9769,9646,9862,9986,10013,9218,7880,7362,7265,7394,17551
TN,17735,19317,19871,20292,23519,25089,25255,20034,18879,19009,19217
TX,291625,427907,319786,335174,320722,339215,367106,381135,317662,196974,241510
UT,8942,8903,8790,15510,13043,16144,13555,12295,11418,11947,16026
VA,20536,22735,24337,25416,28493,31706,36522,39232,42416,44557,47165
VT,9070,9559,5958,5705,6224,6224,6247,5943,5555,5564,5894
WA,64336,67668,69022,69810,71808,73066,77431,80125,88528,82712,78668
WI,53940,57055,58048,60578,67941,70285,80133,83652,88219,91054,102574
WV,15388,14916,16524,16335,17659,19180,19365,19755,19992,21195,21255
WY,3631,4058,4328,4591,4684,4765,5050,5196,4813,4850,4899
,,,,,,,,,,,
NOTES: Data may not sum to total due to rounding. Arizona did not operate any 1915(c) waivers over the study period because all HCBS were provided through a 1115 managed care waiver. Rhode Island terminated its 1915(c) waivers in mid-2009 and provided services under a 1115 waiver. Vermont terminated its 1915(c) waivers in 2006 and provided services under a § 1115 waiver.,,,,,,,,,,,
Source: https://files.kff.org/attachment/Report-Medicaid-Home-and-Community-Based-Services,,,,,,,,,,,
