,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Total,769723,841217,923699,982590,1014859,1066360,1115600,1170609,1247266,1366337
AK,2229,2738,3141,3337,3291,3565,3755,4131,4544,4918
AL,10241,11531,12227,13190,13378,13573,14434,14814,15145,14917
AR,10407,11447,11355,11235,11825,11934,12894,12886,13459,14263
AZ,,,,,,,,,,
CA,44543,50655,59972,69074,72400,80224,75766,84288,91006,95317
CO,22190,23925,25504,26289,25995,22577,27291,28225,29491,30727
CT,14819,15779,16639,17120,18021,18274,16025,15523,15988,20736
DC,144,301,498,605,782,1441,1675,2572,2818,3065
DE,1770,2056,2269,2470,2561,2642,2757,2847,2860,2872
FL,44956,50689,54878,53469,53156,59151,66455,69727,65152,88070
GA,16715,20802,24686,24604,25063,24122,24303,24224,26647,29765
HI,2261,2913,3308,3551,4058,4363,4591,5050,5555,3569
IA,10658,12328,14298,16539,18764,18060,23424,25478,26955,27971
ID,3852,5592,6502,7850,8918,9625,9906,10267,10510,11380
IL,42501,46187,52698,60167,65028,68651,71022,71274,80202,85914
IN,4938,5206,6989,11366,13474,13484,13964,16123,18032,20707
KS,18466,19759,21627,18650,20615,23348,24847,25846,29189,30657
KY,15745,17406,18486,17878,15361,14922,14567,14525,13471,13247
LA,4557,5102,5435,7207,12462,9414,9204,10641,12949,14524
MA,17578,17969,17825,18105,17998,19026,20302,21008,23109,24811
MD,5137,6429,9047,11874,13630,14626,15355,16243,16380,16961
ME,3820,3840,3946,4196,4184,4061,4034,4236,5539,5792
MI,19533,21774,17639,17232,17835,17544,17439,17450,18031,19629
MN,22921,30767,35225,40101,42327,44156,48802,52973,56842,60836
MO,31688,33160,32964,31699,32024,32051,30415,29135,28634,28159
MS,4640,10850,12561,13262,14413,14540,13943,14575,15036,16289
MT,2890,3036,3169,3205,3840,3997,4119,4353,4620,4771
NC,17385,17545,16549,16990,18098,21403,24013,24729,25389,36018
ND,2320,2456,2516,2873,3483,3628,3692,3846,3896,4075
NE,5788,6392,5854,7644,8177,8183,8562,9124,10036,10526
NH,4343,4846,5390,5722,5738,4903,5344,5922,6527,6772
NJ,14325,15929,16641,19517,17831,20679,21839,23211,25004,33631
NM,3719,4084,4659,5552,6020,6622,7284,8012,8814,9084
NV,2448,2744,3083,3325,3605,3880,4163,4265,4340,4212
NY,62366,66390,72086,77007,75159,78279,81425,83710,88988,94479
OH,34801,30567,39613,43971,47581,52110,56651,63268,65624,71068
OK,18801,19431,18171,18679,19373,20621,24228,26816,31392,30425
OR,34893,37482,41392,39820,36982,37291,36520,36219,38287,40866
PA,23014,31033,35707,40102,44726,50579,52958,52552,56949,62620
RI,5599,6017,5039,5071,5331,5568,6151,6950,7683,6291
SC,20558,20663,20495,19917,20113,20341,19597,21838,23136,23322
SD,2527,3031,3177,3294,3610,3642,3890,4129,4350,4872
TN,4910,4990,4898,4925,5080,6778,7996,9380,10318,10562
TX,40703,40935,49863,55354,49363,53709,62940,66470,70323,76541
UT,4173,4466,4922,4958,4941,5027,5140,5425,6115,6171
VA,15677,15525,16142,16597,17646,19436,20282,21984,24760,27748
VT,3067,3425,3721,3650,3916,3809,,,,
WA,38232,39731,39191,39022,39088,41333,41331,41341,41451,44138
WI,23516,22091,30680,32771,35811,37085,38051,40721,47874,57619
WV,5182,6740,8247,8594,8689,8591,8493,8320,9486,10796
WY,2177,2463,2775,2960,3095,3493,3761,3964,4360,4634
,,,,,,,,,,
Source: https://web.archive.org/web/20140824045112/http://kaiserfamilyfoundation.files.wordpress.com/2013/01/7720-06.pdf,,,,,,,,,,
